user_id,first_name,last_name,age,city,reg_date,plan,churn_date,messages_included,gb_per_month,minutes_included,usd_monthly_pay,usd_per_gb,usd_per_message,usd_per_minute
10000,Carlos,Garcia,38,Medellín,2022-01-01 00:00:00.000000000,Basico,,100,5,100,12,1.2,0.08,0.1
10001,Mateo,Torres,53,?,2022-01-01 06:34:17.914478619,Basico,,100,5,100,12,1.2,0.08,0.1
10002,Sofia,Ramirez,57,CDMX,2022-01-01 13:08:35.828957239,Basico,,100,5,100,12,1.2,0.08,0.1
10003,Mateo,Ramirez,69,Bogotá,2022-01-01 19:42:53.743435858,Premium,,500,20,600,25,1.0,0.05,0.07
10004,Mateo,Torres,63,GDL,2022-01-02 02:17:11.657914478,Basico,,100,5,100,12,1.2,0.08,0.1
10005,Luis,Garcia,61,MTY,2022-01-02 08:51:29.572393098,Basico,,100,5,100,12,1.2,0.08,0.1
10006,Sofia,Lopez,39,Bogotá,2022-01-02 15:25:47.486871717,Basico,,100,5,100,12,1.2,0.08,0.1
10007,Sofia,Gomez,70,Medellín,2022-01-02 22:00:05.401350337,Premium,,500,20,600,25,1.0,0.05,0.07
10008,Sofia,Garcia,76,CDMX,2022-01-03 04:34:23.315828957,Basico,,100,5,100,12,1.2,0.08,0.1
10009,Mateo,Torres,47,Bogotá,2022-01-03 11:08:41.230307576,Basico,,100,5,100,12,1.2,0.08,0.1
10010,Carlos,Gomez,67,Bogotá,2022-01-03 17:42:59.144786196,Basico,,100,5,100,12,1.2,0.08,0.1
10011,Sofia,Ramirez,60,Bogotá,2022-01-04 00:17:17.059264816,Premium,,500,20,600,25,1.0,0.05,0.07
10012,Mariana,Lopez,-999,Medellín,2022-01-04 06:51:34.973743435,Premium,,500,20,600,25,1.0,0.05,0.07
10013,Mateo,Ramirez,78,MTY,2022-01-04 13:25:52.888222055,Premium,,500,20,600,25,1.0,0.05,0.07
10014,Luis,Torres,77,,2022-01-04 20:00:10.802700675,Basico,,100,5,100,12,1.2,0.08,0.1
10015,Carlos,Gomez,47,Bogotá,2022-01-05 02:34:28.717179294,Basico,,100,5,100,12,1.2,0.08,0.1
10016,Mariana,Torres,25,Bogotá,2022-01-05 09:08:46.631657914,Basico,,100,5,100,12,1.2,0.08,0.1
10017,Mariana,Gomez,51,Cali,2022-01-05 15:43:04.546136534,Basico,,100,5,100,12,1.2,0.08,0.1
10018,Luis,Garcia,74,GDL,2022-01-05 22:17:22.460615153,Basico,,100,5,100,12,1.2,0.08,0.1
10019,Carlos,Lopez,64,CDMX,2022-01-06 04:51:40.375093773,Basico,,100,5,100,12,1.2,0.08,0.1
10020,Mateo,Garcia,26,Medellín,2022-01-06 11:25:58.289572393,Premium,,500,20,600,25,1.0,0.05,0.07
10021,Ana,Garcia,68,Bogotá,2022-01-06 18:00:16.204051012,Basico,,100,5,100,12,1.2,0.08,0.1
10022,Carlos,Torres,37,,2022-01-07 00:34:34.118529632,Basico,,100,5,100,12,1.2,0.08,0.1
10023,Luis,Lopez,57,,2022-01-07 07:08:52.033008252,Basico,,100,5,100,12,1.2,0.08,0.1
10024,Mariana,Gomez,42,MTY,2022-01-07 13:43:09.947486871,Basico,,100,5,100,12,1.2,0.08,0.1
10025,Mateo,Gomez,36,Bogotá,2022-01-07 20:17:27.861965491,Premium,,500,20,600,25,1.0,0.05,0.07
10026,Carlos,Ramirez,22,Bogotá,2022-01-08 02:51:45.776444111,Premium,,500,20,600,25,1.0,0.05,0.07
10027,Ana,Gomez,28,MTY,2022-01-08 09:26:03.690922730,Premium,,500,20,600,25,1.0,0.05,0.07
10028,Ana,Torres,32,Cali,2022-01-08 16:00:21.605401350,Basico,,100,5,100,12,1.2,0.08,0.1
10029,Sofia,Garcia,25,Cali,2022-01-08 22:34:39.519879970,Basico,,100,5,100,12,1.2,0.08,0.1
10030,Sofia,Garcia,36,Bogotá,2022-01-09 05:08:57.434358589,Basico,,100,5,100,12,1.2,0.08,0.1
10031,Luis,Garcia,40,CDMX,2022-01-09 11:43:15.348837209,Premium,,500,20,600,25,1.0,0.05,0.07
